,method,n,d,q,p,time
316,Encryption,6,24,32767,35184372088831,0.003972316400177078
317,Decrypt,6,24,32767,35184372088831,0.000615876400115667
318,Addition,6,24,32767,35184372088831,3.83308004529681e-05
319,Multiplication,6,24,32767,35184372088831,0.03271295599988662
320,KeyGen,6,26,32767,35184372088831,0.03413192459993297
321,Encryption,6,26,32767,35184372088831,0.0046610404002422005
322,Decrypt,6,26,32767,35184372088831,0.0006842998001957313
323,Addition,6,26,32767,35184372088831,3.780680053750984e-05
324,Multiplication,6,26,32767,35184372088831,0.03839909119997174
325,KeyGen,6,28,32767,35184372088831,0.03870351540026604
326,Encryption,6,28,32767,35184372088831,0.005292124999687076
327,Decrypt,6,28,32767,35184372088831,0.0007302587997401133
328,Addition,6,28,32767,35184372088831,3.689279983518645e-05
329,Multiplication,6,28,32767,35184372088831,0.04375652159942547
330,KeyGen,6,30,32767,35184372088831,0.04341510459998972
331,Encryption,6,30,32767,35184372088831,0.005811641600303119
332,Decrypt,6,30,32767,35184372088831,0.0008258888003183529
333,Addition,6,30,32767,35184372088831,3.8264800241449845e-05
334,Multiplication,6,30,32767,35184372088831,0.04916101679991698
335,KeyGen,6,32,32767,35184372088831,0.04740078120012185
336,Encryption,6,32,32767,35184372088831,0.006568867000169121
337,Decrypt,6,32,32767,35184372088831,0.0009254385993699543
338,Addition,6,32,32767,35184372088831,4.154880007263273e-05
339,Multiplication,6,32,32767,35184372088831,0.054272111999307523
340,KeyGen,8,1,32767,35184372088831,0.0028844444001151714
341,Encryption,8,1,32767,35184372088831,0.00030036999960429965
342,Decrypt,8,1,32767,35184372088831,5.144700044183992e-05
343,Addition,8,1,32767,35184372088831,2.4606400256743654e-05
344,Multiplication,8,1,32767,35184372088831,0.0029449096000462305
345,KeyGen,8,2,32767,35184372088831,0.004375280400563497
346,Encryption,8,2,32767,35184372088831,0.0003659854002762586
347,Decrypt,8,2,32767,35184372088831,6.209920029505156e-05
348,Addition,8,2,32767,35184372088831,2.36364001466427e-05
349,Multiplication,8,2,32767,35184372088831,0.003609909000078915
350,KeyGen,8,4,32767,35184372088831,0.006356644599873107
351,Encryption,8,4,32767,35184372088831,0.0005952482002612669
352,Decrypt,8,4,32767,35184372088831,8.597580017521977e-05
353,Addition,8,4,32767,35184372088831,2.539039996918291e-05
354,Multiplication,8,4,32767,35184372088831,0.006167158800235484
355,KeyGen,8,6,32767,35184372088831,0.0097991782000463
356,Encryption,8,6,32767,35184372088831,0.0009259288002795074
357,Decrypt,8,6,32767,35184372088831,0.00011955640002270229
358,Addition,8,6,32767,35184372088831,2.7690600109053776e-05
359,Multiplication,8,6,32767,35184372088831,0.00924430500017479
360,KeyGen,8,8,32767,35184372088831,0.013135867799428524
361,Encryption,8,8,32767,35184372088831,0.0012842460004321766
362,Decrypt,8,8,32767,35184372088831,0.00015867319962126203
363,Addition,8,8,32767,35184372088831,2.912659983849153e-05
364,Multiplication,8,8,32767,35184372088831,0.012814639400312444
365,KeyGen,8,10,32767,35184372088831,0.01778194359940244
366,Encryption,8,10,32767,35184372088831,0.0017282869994232897
367,Decrypt,8,10,32767,35184372088831,0.00021049019997008145
368,Addition,8,10,32767,35184372088831,3.1288600439438596e-05
369,Multiplication,8,10,32767,35184372088831,0.017435086800105637
370,KeyGen,8,12,32767,35184372088831,0.02296860260030371
371,Encryption,8,12,32767,35184372088831,0.0022154787999170366
372,Decrypt,8,12,32767,35184372088831,0.000265307399968151
373,Addition,8,12,32767,35184372088831,3.33527998009231e-05
374,Multiplication,8,12,32767,35184372088831,0.02265707639962784
375,KeyGen,8,14,32767,35184372088831,0.030367312399903312
