,method,n,d,q,p,depth,error,is_wrong
68,add,3,256,13,3,8,0.24064922332763672,False
69,add,3,256,13,3,9,0.27991676330566406,True
70,add,3,256,13,3,0,0.047003746032714844,False
71,add,3,256,13,3,1,0.07172489166259766,False
72,add,3,256,13,3,2,0.09417724609375,False
73,add,3,256,13,3,3,0.11851024627685547,False
74,add,3,256,13,3,4,0.1448345184326172,False
75,add,3,256,13,3,5,0.17006492614746094,False
76,add,3,256,13,3,6,0.19335174560546875,False
77,add,3,256,13,3,7,0.21960735321044922,False
78,add,3,256,13,3,8,0.24269676208496094,False
79,add,3,256,13,3,9,0.2687692642211914,True
80,add,3,256,13,3,0,0.041398048400878906,False
81,add,3,256,13,3,1,0.06406116485595703,False
82,add,3,256,13,3,2,0.08474063873291016,False
83,add,3,256,13,3,3,0.1048269271850586,False
84,add,3,256,13,3,4,0.12694263458251953,False
85,add,3,256,13,3,5,0.14938640594482422,False
86,add,3,256,13,3,6,0.17164230346679688,False
87,add,3,256,13,3,7,0.19002437591552734,False
88,add,3,256,13,3,8,0.2079477310180664,False
89,add,3,256,13,3,9,0.2287006378173828,False
90,add,3,256,13,3,10,0.25415515899658203,True
91,add,3,256,13,3,0,0.04662895202636719,False
92,add,3,256,13,3,1,0.07013893127441406,False
93,add,3,256,13,3,2,0.0983896255493164,False
94,add,3,256,13,3,3,0.12387847900390625,False
95,add,3,256,13,3,4,0.14733314514160156,False
96,add,3,256,13,3,5,0.17181873321533203,False
97,add,3,256,13,3,6,0.1956186294555664,False
98,add,3,256,13,3,7,0.21890640258789062,False
99,add,3,256,13,3,8,0.24190044403076172,False
100,add,3,256,13,3,9,0.2908782958984375,True
101,add,3,256,13,3,0,0.04450225830078125,False
102,add,3,256,13,3,1,0.06823921203613281,False
103,add,3,256,13,3,2,0.09243297576904297,False
104,add,3,256,13,3,3,0.11310195922851562,False
105,add,3,256,13,3,4,0.1354360580444336,False
106,add,3,256,13,3,5,0.1555347442626953,False
107,add,3,256,13,3,6,0.1778726577758789,False
108,add,3,256,13,3,7,0.1994915008544922,False
109,add,3,256,13,3,8,0.2218647003173828,False
110,add,3,256,13,3,9,0.24072933197021484,False
111,add,3,256,13,3,10,0.2684211730957031,True
112,add,3,256,13,3,0,0.0505523681640625,False
113,add,3,256,13,3,1,0.07744789123535156,False
114,add,3,256,13,3,2,0.09946155548095703,False
115,add,3,256,13,3,3,0.12220954895019531,False
116,add,3,256,13,3,4,0.14727210998535156,False
117,add,3,256,13,3,5,0.17173004150390625,False
118,add,3,256,13,3,6,0.19258689880371094,False
119,add,3,256,13,3,7,0.21515655517578125,False
120,add,3,256,13,3,8,0.2405223846435547,True
121,add,3,256,13,3,0,0.04360485076904297,False
122,add,3,256,13,3,1,0.06656646728515625,False
123,add,3,256,13,3,2,0.08942222595214844,False
124,add,3,256,13,3,3,0.11006546020507812,False
125,add,3,256,13,3,4,0.1270895004272461,False
126,add,3,256,13,3,5,0.1494598388671875,False
127,add,3,256,13,3,6,0.17230224609375,False
128,add,3,256,13,3,7,0.1957855224609375,False
129,add,3,256,13,3,8,0.2164926528930664,False
130,add,3,256,13,3,9,0.23680400848388672,False
131,add,3,256,13,3,10,0.25890350341796875,False
132,add,3,256,13,3,11,0.292144775390625,True
133,add,3,256,13,3,0,0.05285167694091797,False
134,add,3,256,13,3,1,0.0779714584350586,False
135,add,3,256,13,3,2,0.10262870788574219,False
136,add,3,256,13,3,3,0.1280384063720703,False
137,add,3,256,13,3,4,0.15841102600097656,False
138,add,3,256,13,3,5,0.18708133697509766,False
139,add,3,256,13,3,6,0.21503639221191406,False
140,add,3,256,13,3,7,0.24256610870361328,False
141,add,3,256,13,3,8,0.2687664031982422,True
142,add,3,256,13,3,0,0.046622276306152344,False
143,add,3,256,13,3,1,0.06905937194824219,False
144,add,3,256,13,3,2,0.09009552001953125,False
145,add,3,256,13,3,3,0.11385059356689453,False
146,add,3,256,13,3,4,0.13608074188232422,False
147,add,3,256,13,3,5,0.16382884979248047,False
148,add,3,256,13,3,6,0.18437862396240234,False
149,add,3,256,13,3,7,0.2096233367919922,False
150,add,3,256,13,3,8,0.23606204986572266,False
151,add,3,256,13,3,9,0.2701902389526367,True
152,add,1,512,15,3,0,0.008742570877075195,False
153,add,1,512,15,3,1,0.013143181800842285,False
154,add,1,512,15,3,2,0.017078399658203125,False
155,add,1,512,15,3,3,0.022075653076171875,False
156,add,1,512,15,3,4,0.0261690616607666,False
157,add,1,512,15,3,5,0.03054511547088623,False
158,add,1,512,15,3,6,0.034877896308898926,False
159,add,1,512,15,3,7,0.03933858871459961,False
160,add,1,512,15,3,8,0.04432809352874756,False
161,add,1,512,15,3,9,0.04926598072052002,False
162,add,1,512,15,3,10,0.054303884506225586,False
163,add,1,512,15,3,11,0.05819118022918701,False
164,add,1,512,15,3,12,0.06232273578643799,False
165,add,1,512,15,3,13,0.06625151634216309,False
166,add,1,512,15,3,14,0.07058465480804443,False
167,add,1,512,15,3,15,0.07508504390716553,False
168,add,1,512,15,3,16,0.07993042469024658,False
169,add,1,512,15,3,17,0.08433854579925537,False
170,add,1,512,15,3,18,0.08809375762939453,False
171,add,1,512,15,3,19,0.09230160713195801,False
172,add,1,512,15,3,20,0.09636497497558594,False
173,add,1,512,15,3,21,0.1008908748626709,False
174,add,1,512,15,3,22,0.1047971248626709,False
175,add,1,512,15,3,23,0.10887038707733154,False
176,add,1,512,15,3,24,0.11403930187225342,False
177,add,1,512,15,3,25,0.11844635009765625,False
178,add,1,512,15,3,26,0.12247264385223389,False
179,add,1,512,15,3,27,0.12641489505767822,False
180,add,1,512,15,3,28,0.13045966625213623,False
181,add,1,512,15,3,29,0.13448119163513184,False
182,add,1,512,15,3,30,0.1389857530593872,False
183,add,1,512,15,3,31,0.14345145225524902,False
184,add,1,512,15,3,32,0.1478135585784912,False
185,add,1,512,15,3,33,0.15229344367980957,False
186,add,1,512,15,3,34,0.15630662441253662,False
187,add,1,512,15,3,35,0.16083765029907227,False
188,add,1,512,15,3,36,0.16527605056762695,False
189,add,1,512,15,3,37,0.17001426219940186,False
190,add,1,512,15,3,38,0.17385995388031006,False
191,add,1,512,15,3,39,0.178236722946167,False
192,add,1,512,15,3,40,0.18259787559509277,False
193,add,1,512,15,3,41,0.18743062019348145,False
