,method,n,d,q,p,time
284,Multiplication,8,8,52,8,0.03176192020036979
285,KeyGen,8,8,52,6,0.030917510399740424
286,Encryption,8,8,52,6,0.002653373600332998
287,Decrypt,8,8,52,6,0.00032471439990331417
288,Addition,8,8,52,6,5.757010003435425e-05
289,Multiplication,8,8,52,6,0.03209149569956935
290,KeyGen,8,8,52,7,0.03223306340005365
291,Encryption,8,8,52,7,0.002647532499395311
292,Decrypt,8,8,52,7,0.00032633650043862873
293,Addition,8,8,52,7,5.8537199947750196e-05
294,Multiplication,8,8,52,7,0.03357961920046364
295,KeyGen,8,8,52,4,0.028157386599923485
296,Encryption,8,8,52,4,0.0026200470005278476
297,Decrypt,8,8,52,4,0.0003066940997086931
298,Addition,8,8,52,4,4.883789952145889e-05
299,Multiplication,8,8,52,4,0.02911855159982224
300,KeyGen,8,8,52,3,0.027764809799555222
301,Encryption,8,8,52,3,0.002752503599913325
302,Decrypt,8,8,52,3,0.0003381727001396939
303,Addition,8,8,52,3,5.9022200002800676e-05
304,Multiplication,8,8,52,3,0.029037114100356122
305,KeyGen,8,8,52,2,0.028265754799940625
306,Encryption,8,8,52,2,0.0026354913003160617
307,Decrypt,8,8,52,2,0.0003289104999566916
308,Addition,8,8,52,2,5.751820062869228e-05
309,Multiplication,8,8,52,2,0.02826124269995489
310,KeyGen,8,8,52,1,0.027688119300000834
311,Encryption,8,8,52,1,0.0026135487998544702
312,Decrypt,8,8,52,1,0.0003269294997153338
313,Addition,8,8,52,1,5.7250100508099425e-05
314,Multiplication,8,8,52,1,0.027780731200618903
315,KeyGen,8,8,50,9,0.02954746819959837
316,Encryption,8,8,50,9,0.0026541297003859652
317,Decrypt,8,8,50,9,0.0003278034993854817
318,Addition,8,8,50,9,5.72520999412518e-05
319,Multiplication,8,8,50,9,0.029595168200467016
320,KeyGen,8,8,50,8,0.029929056800028775
321,Encryption,8,8,50,8,0.0026559606994851492
322,Decrypt,8,8,50,8,0.000331354600348277
323,Addition,8,8,50,8,5.9294200036674737e-05
324,Multiplication,8,8,50,8,0.02978489390006871
325,KeyGen,8,8,50,4,0.029104199400171636
326,Encryption,8,8,50,4,0.002822392999951262
327,Decrypt,8,8,50,4,0.0003541520003636833
328,Addition,8,8,50,4,5.700609981431626e-05
329,Multiplication,8,8,50,4,0.02979661420031334
330,KeyGen,8,8,50,3,0.028498657399904915
331,Encryption,8,8,50,3,0.0026568858003884087
332,Decrypt,8,8,50,3,0.00036500129936030136
333,Addition,8,8,50,3,5.712709971703589e-05
334,Multiplication,8,8,50,3,0.028187704200536245
335,KeyGen,8,8,50,1,0.026941926500148837
336,Encryption,8,8,50,1,0.002634752300218679
337,Decrypt,8,8,50,1,0.0003269944005296566
338,Addition,8,8,50,1,5.831119997310452e-05
339,Multiplication,8,8,50,1,0.02979306510023889
340,KeyGen,8,8,50,6,0.03031075030012289
341,Encryption,8,8,50,6,0.0026554456999292597
342,Decrypt,8,8,50,6,0.0003279894997831434
343,Addition,8,8,50,6,5.880719982087612e-05
344,Multiplication,8,8,50,6,0.03204544070031261
345,KeyGen,8,8,50,7,0.03273514840038842
346,Encryption,8,8,50,7,0.0029205559003457893
347,Decrypt,8,8,50,7,0.00036312529991846534
348,Addition,8,8,50,7,8.59257001138758e-05
349,Multiplication,8,8,50,7,0.03290103070030455
350,KeyGen,8,8,50,5,0.030654095200588927
351,Encryption,8,8,50,5,0.002825062099873321
352,Decrypt,8,8,50,5,0.0004002649999165442
353,Addition,8,8,50,5,6.282929971348494e-05
354,Multiplication,8,8,50,5,0.0315686973000993
355,KeyGen,8,8,50,2,0.029960509399825242
356,Encryption,8,8,50,2,0.0026560067002719735
357,Decrypt,8,8,50,2,0.0003270084998803213
358,Addition,8,8,50,2,5.8386199816595764e-05
359,Multiplication,8,8,50,2,0.030031484799837926
360,KeyGen,8,8,48,9,0.031813102099840763
361,Encryption,8,8,48,9,0.0026816902005521114
362,Decrypt,8,8,48,9,0.00034101179990102536
363,Addition,8,8,48,9,5.9092199808219445e-05
364,Multiplication,8,8,48,9,0.029759810399991694
365,KeyGen,8,8,48,7,0.029390069100190885
366,Encryption,8,8,48,7,0.0026853273004235232
367,Decrypt,8,8,48,7,0.00032167239987757057
368,Addition,8,8,48,7,5.788920025224797e-05
369,Multiplication,8,8,48,7,0.029648619199724634
370,KeyGen,8,8,48,8,0.03118120259969146
371,Encryption,8,8,48,8,0.003626571899803821
372,Decrypt,8,8,48,8,0.0003294114998425357
373,Addition,8,8,48,8,5.8502100000623616e-05
374,Multiplication,8,8,48,8,0.030053120199590923
375,KeyGen,8,8,48,5,0.03029668710005353
376,Encryption,8,8,48,5,0.0026240061000862625
377,Decrypt,8,8,48,5,0.0003359166003065184
378,Addition,8,8,48,5,8.99708000360988e-05
379,Multiplication,8,8,48,5,0.029251238299912073
380,KeyGen,8,8,48,6,0.034925696899881585
381,Encryption,8,8,48,6,0.0027237409994995687
382,Decrypt,8,8,48,6,0.0004267103999154642
383,Addition,8,8,48,6,5.8727199939312416e-05
384,Multiplication,8,8,48,6,0.030761713299580152
385,KeyGen,8,8,48,2,0.027511622800375335
386,Encryption,8,8,48,2,0.002555766700243112
387,Decrypt,8,8,48,2,0.0003356467001140118
388,Addition,8,8,48,2,5.786820038338192e-05
389,Multiplication,8,8,48,2,0.027302763699844947
390,KeyGen,8,8,48,4,0.029049623400351266
391,Encryption,8,8,48,4,0.0026509376002650242
392,Decrypt,8,8,48,4,0.00033236059971386567
393,Addition,8,8,48,4,5.8718099899124355e-05
394,Multiplication,8,8,48,4,0.028979566899943167
395,KeyGen,8,8,48,1,0.029339702099969146
396,Encryption,8,8,48,1,0.0027503616001922637
397,Decrypt,8,8,48,1,0.00033037950051948426
398,Addition,8,8,48,1,5.859209995833226e-05
399,Multiplication,8,8,48,1,0.029583349900349276
400,KeyGen,8,8,48,3,0.03320924879953964
401,Encryption,8,8,48,3,0.002648058499471517
402,Decrypt,8,8,48,3,0.00032370440021622926
403,Addition,8,8,48,3,5.687810044037178e-05
404,Multiplication,8,8,48,3,0.028393149300245567
405,KeyGen,8,8,46,8,0.029642089099797885
406,Encryption,8,8,46,8,0.0025677459001599346
407,Decrypt,8,8,46,8,0.000330967600166332
408,Addition,8,8,46,8,5.864419945282862e-05
409,Multiplication,8,8,46,8,0.03149517290003132
410,KeyGen,8,8,46,7,0.03122201949954615
411,Encryption,8,8,46,7,0.0026487575996725354
412,Decrypt,8,8,46,7,0.0003255935000197496
413,Addition,8,8,46,7,5.203600012464449e-05
414,Multiplication,8,8,46,7,0.031528186600189655
415,KeyGen,8,8,46,9,0.032182377400022236
416,Encryption,8,8,46,9,0.0029075976999592967
417,Decrypt,8,8,46,9,0.00040721309997024944
418,Addition,8,8,46,9,5.863510014023632e-05
419,Multiplication,8,8,46,9,0.03345377770019695
420,KeyGen,8,8,46,6,0.029264201600017258
421,Encryption,8,8,46,6,0.002700234499934595
422,Decrypt,8,8,46,6,0.00034147479964303785
423,Addition,8,8,46,6,5.961819988442585e-05
424,Multiplication,8,8,46,6,0.02915031730008195
425,KeyGen,8,8,46,5,0.02919544219985255
426,Encryption,8,8,46,5,0.002682266299962066
427,Decrypt,8,8,46,5,0.0003296994997072034
428,Addition,8,8,46,5,5.6808099907357244e-05
429,Multiplication,8,8,46,5,0.028848464399925434
430,KeyGen,8,8,46,4,0.028485781199560734
431,Encryption,8,8,46,4,0.0026063637000333984
432,Decrypt,8,8,46,4,0.00032830960044520906
433,Addition,8,8,46,4,5.8459200226934625e-05
434,Multiplication,8,8,46,4,0.028577599999698576
435,KeyGen,8,8,46,3,0.029243068100186065
436,Encryption,8,8,46,3,0.002785358199616894
437,Decrypt,8,8,46,3,0.0003408816999581177
438,Addition,8,8,46,3,5.7032100448850544e-05
439,Multiplication,8,8,46,3,0.029987711000285345
440,KeyGen,8,8,46,2,0.028788889200222913
441,Encryption,8,8,46,2,0.002844176399958087
442,Decrypt,8,8,46,2,0.0003246113999921363
443,Addition,8,8,46,2,5.7365099928574635e-05
444,Multiplication,8,8,46,2,0.02955978050013073
445,KeyGen,8,8,46,1,0.02736973110004328
446,Encryption,8,8,46,1,0.002599836500303354
447,Decrypt,8,8,46,1,0.0003015959999174811
448,Addition,8,8,46,1,5.6945200049085544e-05
449,Multiplication,8,8,46,1,0.027625846100272612
450,KeyGen,8,8,44,9,0.030079060799471334
451,Encryption,8,8,44,9,0.0026354042995080816
452,Decrypt,8,8,44,9,0.0003273294998507481
453,Addition,8,8,44,9,5.761909997090697e-05
454,Multiplication,8,8,44,9,0.03055606429988984
455,KeyGen,8,8,44,7,0.02962984790065093
456,Encryption,8,8,44,7,0.0027057837003667375
457,Decrypt,8,8,44,7,0.0003341966999869328
458,Addition,8,8,44,7,6.049420044291764e-05
459,Multiplication,8,8,44,7,0.029850658299983478
460,KeyGen,8,8,44,8,0.03262992829986615
461,Encryption,8,8,44,8,0.002667771999404067
462,Decrypt,8,8,44,8,0.0003373767001903616
463,Addition,8,8,44,8,5.76220998482313e-05
464,Multiplication,8,8,44,8,0.031672834399796554
465,KeyGen,8,8,44,6,0.03028536079946207
466,Encryption,8,8,44,6,0.0027979785001662092
467,Decrypt,8,8,44,6,0.0003426777999266051
468,Addition,8,8,44,6,5.965219970676117e-05
469,Multiplication,8,8,44,6,0.030992039900593227
470,KeyGen,8,8,44,5,0.028715241699683248
471,Encryption,8,8,44,5,0.002647908499784535
472,Decrypt,8,8,44,5,0.0003282414996647276
473,Addition,8,8,44,5,5.8007199550047515e-05
474,Multiplication,8,8,44,5,0.029588472099567296
475,KeyGen,8,8,44,4,0.031083480700181097
476,Encryption,8,8,44,4,0.0029896013002144173
477,Decrypt,8,8,44,4,0.00038309260053210893
478,Addition,8,8,44,4,5.845619962201454e-05
479,Multiplication,8,8,44,4,0.03239534870008356
480,KeyGen,8,8,44,2,0.02798108119968674
481,Encryption,8,8,44,2,0.002725715999986278
482,Decrypt,8,8,44,2,0.0003344547003507614
483,Addition,8,8,44,2,5.772220029029995e-05
484,Multiplication,8,8,44,2,0.028378951999911806
485,KeyGen,8,8,44,3,0.028024248000292573
486,Encryption,8,8,44,3,0.002757796800142387
487,Decrypt,8,8,44,3,0.0003389657998923212
488,Addition,8,8,44,3,5.9649199829436836e-05
489,Multiplication,8,8,44,3,0.02852739299996756
490,KeyGen,8,8,44,1,0.027631095200194977
491,Encryption,8,8,44,1,0.0026262660998327193
492,Decrypt,8,8,44,1,0.0003331706000608392
493,Addition,8,8,44,1,5.4510100017068905e-05
494,Multiplication,8,8,44,1,0.027575877100025535
495,KeyGen,8,8,42,7,0.028549799399479527
496,Encryption,8,8,42,7,0.0025835822998487856
497,Decrypt,8,8,42,7,0.0003336737005156465
498,Addition,8,8,42,7,5.8239100326318294e-05
499,Multiplication,8,8,42,7,0.028778644999692914
500,KeyGen,8,8,42,9,0.03128317969967611
501,Encryption,8,8,42,9,0.0028292691000388003
502,Decrypt,8,8,42,9,0.00032737650035414846
503,Addition,8,8,42,9,5.747219984186813e-05
504,Multiplication,8,8,42,9,0.03148299460008275
505,KeyGen,8,8,42,8,0.030679375699401136
506,Encryption,8,8,42,8,0.0025486506005108823
507,Decrypt,8,8,42,8,0.0003250374000344891
508,Addition,8,8,42,8,5.7895100326277316e-05
509,Multiplication,8,8,42,8,0.030189762900408822
510,KeyGen,8,8,42,6,0.02933143900008872
511,Encryption,8,8,42,6,0.002643978499691002
512,Decrypt,8,8,42,6,0.0003335635999974329
513,Addition,8,8,42,6,5.92792006500531e-05
514,Multiplication,8,8,42,6,0.02922466880045249
515,KeyGen,8,8,42,5,0.028692117299942765
516,Encryption,8,8,42,5,0.0027142559003550558
517,Decrypt,8,8,42,5,0.0003358715999638662
518,Addition,8,8,42,5,5.789610004285351e-05
519,Multiplication,8,8,42,5,0.029702916400128742
520,KeyGen,8,8,42,2,0.028454872599832016
521,Encryption,8,8,42,2,0.002674352999747498
522,Decrypt,8,8,42,2,0.0003393806997337379
523,Addition,8,8,42,2,5.951319981249981e-05
524,Multiplication,8,8,42,2,0.030160416400030955
525,KeyGen,8,8,42,3,0.029605668400472497
526,Encryption,8,8,42,3,0.00272021400014637
527,Decrypt,8,8,42,3,0.0003453249002632219
528,Addition,8,8,42,3,5.3705100435763596e-05
529,Multiplication,8,8,42,3,0.030020593700464816
530,KeyGen,8,8,42,4,0.03036987559971749
531,Encryption,8,8,42,4,0.0028508415001851973
532,Decrypt,8,8,42,4,0.0003344687000208069
533,Addition,8,8,42,4,5.8304200501879676e-05
534,Multiplication,8,8,42,4,0.02990918840005179
535,KeyGen,8,8,42,1,0.030093026100075804
536,Encryption,8,8,42,1,0.003178961999947205
537,Decrypt,8,8,42,1,0.0003473729004326742
538,Addition,8,8,42,1,5.7181099691661075e-05
539,Multiplication,8,8,42,1,0.03186518520014943
540,KeyGen,8,8,40,9,0.028550758499477524
541,Encryption,8,8,40,9,0.002659735800261842
542,Decrypt,8,8,40,9,0.0003226423999876715
543,Addition,8,8,40,9,5.723220019717701e-05
544,Multiplication,8,8,40,9,0.029677415799960728
545,KeyGen,8,8,40,7,0.028757827599474695
546,Encryption,8,8,40,7,0.0027123217994812878
547,Decrypt,8,8,40,7,0.0003205663997505326
548,Addition,8,8,40,7,5.689719982910901e-05
549,Multiplication,8,8,40,7,0.029874183700303546
550,KeyGen,8,8,40,8,0.03504063229993335
551,Encryption,8,8,40,8,0.0026562967002973894
552,Decrypt,8,8,40,8,0.00033425369983888233
